1|20201212|Coca-cola|3.0|1
2|20201111|Pepsi|3.0|2
3|20200909|Staropramen|4.0|2
4|20201212|Argo|2.0|3
5|20200808|Pepsi Max|2.8|3
6|20200707|Dr. Pepper|2.2|3
7|20200606|Guinness|6.0|5
8|20200505|7UP|2.5|5
9|20200404|Root Beer|3.2|2
10|20200303|Mountain Dew Code Red|3.5|4
11|20200202|Budweiser|4.5|4
12|20200101|Coke Zero|2.3|4
13|20191212|Lemonade|2.0|4
14|20191111|Ginger Ale|2.1|4
15|20191010|Corona|5.5|4
16|20190909|Pepsi Twist|2.7|4
17|20190808|Orange Crush|2.4|5
18|20190707|Sierra Mist|222.6|3
19|20190606|Blue Moon|4.0|3
20|20190505|Iced Tea|1.8|3
